TIPO_PRODUTO;NOME_PRODUTO;CATEGORIA_REGULATORIA;NUMERO_REGISTRO_PRODUTO;CLASSE_TERAPEUTICA;CNPJ LABORATORIO;LABORATORIO;SITUACAO_REGISTRO;PRINCIPIO_ATIVO
MEDICAMENTO;ACETATO DE CLOSTEBOL + SULFATO DE NEOMICINA;GENÉRICO;183260226;CERATOLITICOS E CERATOPLASTICOS;10588595001092;SANOFI MEDLEY FARMACÊUTICA LTDA.;VÁLIDO;ACETATO DE CLOSTEBOL +  SULFATO DE NEOMICINA
MEDICAMENTO;ACETATO DE DEXAMETASONA;GENÉRICO;125680126;GLICOCORTICOIDES TOP. SIMP. EXC. USO OFTALM.;73856593000166;PRATI DONADUZZI & CIA LTDA;VÁLIDO;ACETATO DE DEXAMETASONA
MEDICAMENTO;ACETATO DE DEXAMETASONA;GENÉRICO;104971334;GLICOCORTICOIDES TOP. SIMP. EXC. USO OFTALM.;60665981000118;UNIÃO QUÍMICA FARMACÊUTICA NACIONAL S/A;VÁLIDO;ACETATO DE DEXAMETASONA
MEDICAMENTO;ACETATO DE DEXAMETASONA;GENÉRICO;102350848;GLICOCORTICOIDES TOP. SIMP. EXC. USO OFTALM.;57507378000365;EMS S/A;VÁLIDO;ACETATO DE DEXAMETASONA
MEDICAMENTO;ACETATO DE DEXAMETASONA;GENÉRICO;105830544;GLICOCORTICOIDES TOP. SIMP. EXC. USO OFTALM.;45992062000165;GERMED FARMACEUTICA LTDA;VÁLIDO;ACETATO DE DEXAMETASONA
MEDICAMENTO;ACETATO DE HIDROCORTISONA;GENÉRICO;104971333;GLICOCORTICOIDES TOP. SIMP. EXC. USO OFTALM.;60665981000118;UNIÃO QUÍMICA FARMACÊUTICA NACIONAL S/A;VÁLIDO;ACETATO DE HIDROCORTISONA
MEDICAMENTO;ACETATO DE PREDNISOLONA;GENÉRICO;154230190;GLICOCORTICOIDES TOPICO OFTALMOLOGICO SIMPLES;03485572000104;GEOLAB INDÚSTRIA FARMACÊUTICA S/A;VÁLIDO;ACETATO DE PREDNISOLONA
MEDICAMENTO;ACETATO DE SÓDIO;ESPECÍFICO;164000004;ELETROLITOS SIMPLES;05155425000193;CASULA & VASCONCELOS INDÚSTRIA FARMACÊUTICA E COMÉRCIO LTDA;VÁLIDO;ACETATO DE SÓDIO TRI-HIDRATADO 
MEDICAMENTO;ACETAZONA;SIMILAR;109630046;GLICOCORTICOIDES SISTEMICOS;06597801000162;THEODORO F SOBRAL & CIA LTDA;VÁLIDO;ACETATO DE DEXAMETASONA +  DEXAMETASONA
MEDICAMENTO;ACETICIL;SIMILAR;107150069;ANALGESICOS;44010437000181;CAZI QUIMICA FARMACEUTICA INDUSTRIA E COMERCIO LTDA;VÁLIDO;ÁCIDO ACETILSALICÍLICO
MEDICAMENTO;ACETILCISTEINA;GENÉRICO;100430772;EXPECTORANTES BALSAMICOS E MUCOLITICO;61190096000192;EUROFARMA LABORATÓRIOS S.A.;VÁLIDO;ACETILCISTEÍNA
MEDICAMENTO;ACETILCISTEINA;GENÉRICO;155840519;EXPECTORANTES BALSAMICOS E MUCOLITICO;05161069000110;BRAINFARMA INDÚSTRIA QUÍMICA E FARMACÊUTICA S.A;VÁLIDO;ACETILCISTEÍNA
MEDICAMENTO;ACETILCISTEINA;GENÉRICO;105730648;EXPECTORANTES BALSAMICOS E MUCOLITICO;60659463002992;ACHÉ LABORATÓRIOS FARMACÊUTICOS S.A;VÁLIDO;ACETILCISTEÍNA
MEDICAMENTO;ACETILCISTEÍNA;GENÉRICO;125680100;EXPECTORANTES BALSAMICOS E MUCOLITICO;73856593000166;PRATI DONADUZZI & CIA LTDA;VÁLIDO;ACETILCISTEÍNA
MEDICAMENTO;ACETILCISTEÍNA;GENÉRICO;135690259;EXPECTORANTES BALSAMICOS E MUCOLITICO;00923140000131;EMS SIGMA PHARMA LTDA;VÁLIDO;ACETILCISTEÍNA
MEDICAMENTO;ACETILCISTEÍNA;GENÉRICO;125680127;EXPECTORANTES BALSAMICOS E MUCOLITICO;73856593000166;PRATI DONADUZZI & CIA LTDA;VÁLIDO;ACETILCISTEÍNA
MEDICAMENTO;ACETILCISTEÍNA;GENÉRICO;154230108;EXPECTORANTES BALSAMICOS E MUCOLITICO;03485572000104;GEOLAB INDÚSTRIA FARMACÊUTICA S/A;VÁLIDO;ACETILCISTEÍNA
MEDICAMENTO;ACETONIDA DE TRIANCINOLONA;GENÉRICO;154230131;GLICOCORTICOIDES TOP. SIMP. EXC. USO OFTALM.;03485572000104;GEOLAB INDÚSTRIA FARMACÊUTICA S/A;VÁLIDO;ACETONIDA DE TRIANCINOLONA
MEDICAMENTO;ACETONIDO DE TRIANCINOLONA+SULFATO DE NEOMICINA+GRAMICIDINA+NISTATINA;GENÉRICO;102350651;ANTINFECCIOSOS TOPICOS-ASSOCIACOES MEDICAMENTOSAS;57507378000365;EMS S/A;VÁLIDO;GRAMICIDINA +  NISTATINA +  SULFATO DE NEOMICINA +  TRIANCINOLONA ACETONIDA
MEDICAMENTO;ACEVITON;ESPECÍFICO;143810165;VITAMINAS;02814497000107;CIMED INDUSTRIA S.A;VÁLIDO;ÁCIDO ASCÓRBICO
MEDICAMENTO;ACEZO;SIMILAR;102980564;SUPRESSORES DA REABSORCAO OSSEA;44734671000151;CRISTÁLIA PRODUTOS QUÍMICOS FARMACÊUTICOS LTDA.;VÁLIDO;ÁCIDO ZOLEDRÔNICO MONOIDRATADO
MEDICAMENTO;ACFOL;ESPECÍFICO;107150066;ANTIANEMICOS;44010437000181;CAZI QUIMICA FARMACEUTICA INDUSTRIA E COMERCIO LTDA;VÁLIDO;ÁCIDO FÓLICO
MEDICAMENTO;ACHEFLAN;FITOTERÁPICO;105730341;ANTINFLAMATORIOS + FITOTERAPICO SIMPLES;60659463002992;ACHÉ LABORATÓRIOS FARMACÊUTICOS S.A;VÁLIDO;CORDIA VERBENACEA DC.
MEDICAMENTO;ACICLOMAX;SIMILAR;103900124;ANTIVIROTICOS (INIBE REPLICACAO VIROTICA);33349473000158;FARMOQUÍMICA S/A;VÁLIDO;CLORIDRATO DE VALACICLOVIR
MEDICAMENTO;ACICLOMED;SIMILAR;143810023;ANTIVIROTICOS (INIBE REPLICACAO VIROTICA);02814497000107;CIMED INDUSTRIA S.A;VÁLIDO;ACICLOVIR
MEDICAMENTO;ACICLOR;SIMILAR;106890110;ANTIVIROTICOS;92695691000103;KLEY HERTZ FARMACEUTICA S.A;VÁLIDO;ACICLOVIR
MEDICAMENTO;ACICLOR;SIMILAR;106890205;ANTIVIROTICOS (INIBE REPLICACAO VIROTICA);92695691000103;KLEY HERTZ FARMACEUTICA S.A;VÁLIDO;ACICLOVIR
MEDICAMENTO;ACICLOVIR;SIMILAR;101160144;ANTIVIROTICOS;33258450000138;KNOLL PRODUTOS QUIMICOS E FARMACEUTICOS LTDA;VÁLIDO;
MEDICAMENTO;ACICLOVIR;GENÉRICO;102980250;ANTIVIROTICOS;44734671000151;CRISTÁLIA PRODUTOS QUÍMICOS FARMACÊUTICOS LTDA.;VÁLIDO;ACICLOVIR
MEDICAMENTO;ACICLOVIR;GENÉRICO;123520057;ANTIVIROTICOS;73663650000190;RANBAXY FARMACÊUTICA LTDA;VÁLIDO;ACICLOVIR
MEDICAMENTO;ACICLOVIR;GENÉRICO;100890280;ANTIVIROTICOS;33069212000184;MERCK S/A;VÁLIDO;ACICLOVIR
MEDICAMENTO;ACICLOVIR;GENÉRICO;100470329;ANTIVIROTICOS;61286647000116;SANDOZ DO BRASIL INDÚSTRIA FARMACÊUTICA LTDA;VÁLIDO;ACICLOVIR
MEDICAMENTO;ACICLOVIR;GENÉRICO;125680111;ANTIVIROTICOS;73856593000166;PRATI DONADUZZI & CIA LTDA;VÁLIDO;ACICLOVIR
MEDICAMENTO;ACICLOVIR;GENÉRICO;118190065;ANTIVIROTICOS;92265552000140;MULTILAB INDÚSTRIA E COMÉRCIO DE PRODUTOS FARMACÊUTICOS LTDA;VÁLIDO;ACICLOVIR
MEDICAMENTO;ACICLOVIR;GENÉRICO;125680163;ANTIVIROTICOS;73856593000166;PRATI DONADUZZI & CIA LTDA;VÁLIDO;ACICLOVIR
MEDICAMENTO;ACICLOVIR;GENÉRICO;103700610;ANTIVIROTICOS;17159229000176;LABORATÓRIO TEUTO BRASILEIRO S/A;VÁLIDO;ACICLOVIR +  ACICLOVIR SÓDICO
MEDICAMENTO;ACICLOVIR;GENÉRICO;183260160;ANTIVIROTICOS (INIBE REPLICACAO VIROTICA);10588595001092;SANOFI MEDLEY FARMACÊUTICA LTDA.;VÁLIDO;ACICLOVIR
MEDICAMENTO;ACICLOVIR;SIMILAR;104971416;ANTIVIROTICOS;60665981000118;UNIÃO QUÍMICA FARMACÊUTICA NACIONAL S/A;VÁLIDO;ACICLOVIR +  ACICLOVIR SÓDICO
MEDICAMENTO;ACICLOVIR;GENÉRICO;105730556;ANTIVIROTICOS (INIBE REPLICACAO VIROTICA);60659463002992;ACHÉ LABORATÓRIOS FARMACÊUTICOS S.A;VÁLIDO;ACICLOVIR
MEDICAMENTO;ACICLOVIR;GENÉRICO;105730568;ANTIVIROTICOS;60659463002992;ACHÉ LABORATÓRIOS FARMACÊUTICOS S.A;VÁLIDO;ACICLOVIR
MEDICAMENTO;ACIDO ACETILSALICILICO;GENÉRICO;102350508;ANALGESICOS NAO NARCOTICOS;57507378000365;EMS S/A;VÁLIDO;ÁCIDO ACETILSALICÍLICO
MEDICAMENTO;ACIDO MEFENAMICO;GENÉRICO;135170062;ANTINFLAMATORIOS ANTIREUMATICOS;48344725000719;ALTHAIA S.A INDÚSTRIA FARMACÊUTICA;VÁLIDO;ÁCIDO MEFENÂMICO
MEDICAMENTO;ACIDO TRANEXAMICO;GENÉRICO;167730151;ANTIFIBRINOLITICOS;05044984000126;LEGRAND PHARMA INDÚSTRIA FARMACÊUTICA LTDA;VÁLIDO;ÁCIDO TRANEXÂMICO
MEDICAMENTO;ACIDO TRANEXAMICO;GENÉRICO;116370099;ANTIFIBRINOLITICOS;58430828000160;BLAU FARMACÊUTICA S.A.;VÁLIDO;ÁCIDO TRANEXÂMICO
MEDICAMENTO;ACIDO ZOLEDRONICO;GENÉRICO;116370129;SUPRESSORES DA REABSORCAO OSSEA;58430828000160;BLAU FARMACÊUTICA S.A.;VÁLIDO;ÁCIDO ZOLEDRÔNICO MONOIDRATADO
MEDICAMENTO;ACIDO ZOLEDRONICO;GENÉRICO;102980415;SUPRESSORES DA REABSORCAO OSSEA;44734671000151;CRISTÁLIA PRODUTOS QUÍMICOS FARMACÊUTICOS LTDA.;VÁLIDO;ÁCIDO ZOLEDRÔNICO MONOIDRATADO
MEDICAMENTO;ACIDO ZOLEDRONICO;GENÉRICO;155620038;SUPRESSORES DA REABSORCAO OSSEA;05439635000103;ANTIBIÓTICOS DO BRASIL LTDA;VÁLIDO;ÁCIDO ZOLEDRÔNICO MONOIDRATADO
MEDICAMENTO;ACIVIRAX;SIMILAR;115600082;ANTIVIROTICOS;17562075000169;CIFARMA CIENTÍFICA FARMACÊUTICA LTDA;VÁLIDO;ACICLOVIR
MEDICAMENTO;ACLAF;SIMILAR;103850115;ANTIBIOTICOS SISTEMICOS-ASSOCIACOES MEDICAMENTOSAS;83874628000143;LABORATÓRIO FARMACÊUTICO ELOFAR LTDA;VÁLIDO;AMOXICILINA TRI-HIDRATADA +  CLAVULANATO DE POTÁSSIO
MEDICAMENTO;ACLAF;SIMILAR;103850116;ANTIBIOTICOS SISTEMICOS-ASSOCIACOES MEDICAMENTOSAS;83874628000143;LABORATÓRIO FARMACÊUTICO ELOFAR LTDA;VÁLIDO;AMOXICILINA TRI-HIDRATADA +  CLAVULANATO DE POTÁSSIO
MEDICAMENTO;ACLASTA;NOVO;100681026;SUPRESSORES DA REABSORCAO OSSEA;56994502000130;NOVARTIS BIOCIENCIAS S.A;VÁLIDO;ÁCIDO ZOLEDRÔNICO MONOIDRATADO
MEDICAMENTO;ACNASE;SIMILAR;109740239;PRODUTOS ANTI-ACNE;49475833000106;BIOLAB SANUS FARMACÊUTICA LTDA;VÁLIDO;ENXOFRE +  PERÓXIDO DE BENZOÍLA
MEDICAMENTO;ACNIL;SIMILAR;102980329;PRODUTOS ANTI-ACNE;44734671000151;CRISTÁLIA PRODUTOS QUÍMICOS FARMACÊUTICOS LTDA.;VÁLIDO;ISOTRETINOÍNA
MEDICAMENTO;ACNOVA;SIMILAR;105830844;PRODUTOS ANTI-ACNE;45992062000165;GERMED FARMACEUTICA LTDA;VÁLIDO;ISOTRETINOÍNA
MEDICAMENTO;ACOG;SIMILAR;105250085;;33078528000132;TORRENT DO BRASIL LTDA;VÁLIDO;RIVAROXABANA
MEDICAMENTO;ACTIFEDRIN;NOVO;103900155;ANTI-HISTAMINICOS SISTEMICOS;33349473000158;FARMOQUÍMICA S/A;VÁLIDO;CLORIDRATO DE PSEUDOEFEDRINA +  CLORIDRATO DE TRIPROLIDINA
MEDICAMENTO;ACTILYSE;NOVO;103670049;ANTICOAGULANTES FIBRINOLITICOS E PROTEOLITICOS N/DIGE;60831658000177;BOEHRINGER INGELHEIM DO BRASIL QUÍMICA E FARMACÊUTICA LTDA.;VÁLIDO;ALTEPLASE
MEDICAMENTO;ACTIVE PLUS;FITOTERÁPICO;111990031;;33223157000135;MAKROFARMA QUIMICA FARMACEUTICA LTDA;VÁLIDO;SENNA ALEXANDRINA MILL.
MEDICAMENTO;ACTONEL;NOVO;174650009;SUPRESSORES DA REABSORCAO OSSEA;09058502000148;FARMA VISION IMPORTAÇÃO E EXPORTAÇÃO DE MEDICAMENTOS LTDA;VÁLIDO;RISEDRONATO SÓDICO
MEDICAMENTO;ACU FRESH;ESPECÍFICO;154230230;OUTROS MEDICAMENTOS COM ACAO NO APARELHO VISUAL;03485572000104;GEOLAB INDÚSTRIA FARMACÊUTICA S/A;VÁLIDO;CARMELOSE SÓDICA
MEDICAMENTO;ACU FRESH G;ESPECÍFICO;154230322;EMOLIENTES E PROTETORES OFTALMICOS;03485572000104;GEOLAB INDÚSTRIA FARMACÊUTICA S/A;VÁLIDO;CARMELOSE SÓDICA +  GLICEROL
MEDICAMENTO;ACULAR;NOVO;101470046;ANTINFLAMATORIOS;43426626000177;ALLERGAN PRODUTOS FARMACÊUTICOS LTDA;VÁLIDO;TROMETAMOL CETOROLACO 
MEDICAMENTO;AD FURP;ESPECÍFICO;110390022;EMOLIENTES E PROTETORES DA PELE E MUCOSAS;43640754000119;FUNDAÇÃO PARA O REMÉDIO POPULAR - FURP;VÁLIDO;COLECALCIFEROL +  PALMITATO DE RETINOL +  ÓXIDO DE ZINCO
MEDICAMENTO;AD-MUC;FITOTERÁPICO;109740172;ANTINFLAMATORIOS + FITOTERAPICO SIMPLES;49475833000106;BIOLAB SANUS FARMACÊUTICA LTDA;VÁLIDO;MATRICARIA RECUTITA L.
MEDICAMENTO;AD-TIL;ESPECÍFICO;178170914;POLIVITAMINICOS SEM MINERAIS;61082426000207;COSMED INDUSTRIA DE COSMETICOS E MEDICAMENTOS S.A.;VÁLIDO;ACETATO DE RETINOL +  COLECALCIFEROL
MEDICAMENTO;AD-VITAM;ESPECÍFICO;138410065;POLIVITAMINICOS SEM MINERAIS;02456955000183;NATULAB LABORATÓRIO S.A;VÁLIDO;ACETATO DE RETINOL +  COLECALCIFEROL
MEDICAMENTO;ADACEL;BIOLÓGICO;183260400;VACINAS;10588595001092;SANOFI MEDLEY FARMACÊUTICA LTDA.;VÁLIDO;AGLUTINÓGENOS FIMBRIAIS DE BORDETELLA PERTUSSIS DOS SOROTIPOS 2 E 3 +  HEMAGLUTININA FILAMENTOSA +  PERTACTINA +  TOXÓIDE TETÂNICO +  TOXÓIDE DIFTÉRICO +  TOXÓIDE PERTUSSIS
MEDICAMENTO;ADACNE;SIMILAR;110130230;PRODUTOS ANTI-ACNE;44363661000157;GLENMARK FARMACÊUTICA LTDA;VÁLIDO;ADAPALENO
MEDICAMENTO;ADACNE CLIN;NOVO;110130249;PRODUTOS ANTI-ACNE;44363661000157;GLENMARK FARMACÊUTICA LTDA;VÁLIDO;ADAPALENO +  FOSFATO DE CLINDAMICINA
MEDICAMENTO;ADALAT;NOVO;170560052;ANTIANGINOSOS E VASODILATADORES;18459628000115;BAYER S.A.;VÁLIDO;NIFEDIPINO
MEDICAMENTO;ADAPALENO;GENÉRICO;183260039;PRODUTOS ANTI-ACNE;10588595001092;SANOFI MEDLEY FARMACÊUTICA LTDA.;VÁLIDO;ADAPALENO
MEDICAMENTO;ADAPTIS GEL;ESPECÍFICO;167730625;OUTROS MEDICAMENTOS COM ACAO NO APARELHO VISUAL;05044984000126;LEGRAND PHARMA INDÚSTRIA FARMACÊUTICA LTDA;VÁLIDO;CARBÔMER 940
MEDICAMENTO;ADCETRIS;BIOLÓGICO;106390269;ANTINEOPLASICO;60397775000174;TAKEDA PHARMA LTDA.;VÁLIDO;BRENTUXIMABE VEDOTINA
MEDICAMENTO;ADDAVEN;ESPECÍFICO;100410165;NUTRIENTES PARENTERAIS;49324221000104;FRESENIUS KABI BRASIL LTDA;VÁLIDO;CLORETO CRÔMICO HEXAIDRATADO +  CLORETO CÚPRICO +  CLORETO DE ZINCO +  CLORETO FÉRRICO +  FLUORETO DE SÓDIO +  IODETO DE POTÁSSIO +  SELENITO DE SÓDIO +  DICLORETO DE MANGANÊS TETRAIDRATADO +  MOLIBDATO DE SÓDIO DIIDRATADO
MEDICAMENTO;ADDERA D3;ESPECÍFICO;178170028;ANALOGO SINTETICO DA VITAMINA D;61082426000207;COSMED INDUSTRIA DE COSMETICOS E MEDICAMENTOS S.A.;VÁLIDO;COLECALCIFEROL
MEDICAMENTO;ADEFORTE;ESPECÍFICO;104440113;POLIVITAMINICOS SEM MINERAIS;33145194000172;LABORATÓRIO GROSS S. A.;VÁLIDO;ACETATO DE RACEALFATOCOFEROL +  COLECALCIFEROL +  PALMITATO DE RETINOL
MEDICAMENTO;ADENOCARD;SIMILAR;100330038;OUTROS PRODUTOS COM ACAO NO MIOCARDIO E SISTEMA DE CONDUCAO;61230314000175;LIBBS FARMACÊUTICA LTDA;VÁLIDO;ADENOSINA
